age,qx
50,0.002768
51,0.002905
52,0.003057
53,0.003225
54,0.003412
55,0.003622
56,0.003858
57,0.004128
58,0.004436
59,0.004789
60,0.005191
61,0.005646
62,0.006156
63,0.006723
64,0.007352
65,0.008048
66,0.008821
67,0.009679
68,0.010633
69,0.011692
70,0.012868
71,0.014171
72,0.015614
73,0.01721
74,0.018977
75,0.020938
76,0.023118
77,0.025554
78,0.028288
79,0.031366
80,0.034844
81,0.038783
82,0.043246
83,0.048305
84,0.054032
85,0.060504
86,0.067801
87,0.076012
88,0.08523
89,0.095563
90,0.107126
91,0.119744
92,0.133299
93,0.14772
94,0.162971
95,0.179034
96,0.195903
97,0.213565
98,0.231991
99,0.251123
100,0.270858
101,0.29104
102,0.311444
103,0.3319
104,0.352232
105,0.372273
106,0.39186
107,0.410849
108,0.429112
109,0.446544
110,0.463061
111,0.478604
112,0.493137
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1.0
